,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,31.566443109512328,1.014928386771193,0.18022265434265136,0.0030663543350598088,0.015625,{'C': 0.015625},0.679875,0.6767,0.674975,0.6758,0.6778,0.67703,0.0017048020412939527,13
1,38.08230476379394,0.9763539761625046,0.16600003242492675,0.013312753939183007,0.03125,{'C': 0.03125},0.687075,0.685925,0.68245,0.684875,0.68585,0.6852349999999999,0.0015572893115924167,12
2,42.16850357055664,1.1494175197022978,0.15423088073730468,0.012126137195076776,0.0625,{'C': 0.0625},0.693925,0.693825,0.691975,0.69365,0.69415,0.6935049999999999,0.0007818887388880929,11
3,59.37652859687805,2.6193539357297593,0.1511622905731201,0.00268757713837494,0.125,{'C': 0.125},0.700925,0.702275,0.700875,0.70245,0.7014,0.7015849999999999,0.0006630610831590008,10
4,67.46825332641602,0.8871034133665493,0.14701275825500487,0.00719235420335168,0.25,{'C': 0.25},0.7082,0.709775,0.708975,0.708825,0.7087,0.708895,0.0005112240213448516,9
5,78.78581652641296,1.9597284368037564,0.14813551902770997,0.004835594737438746,0.5,{'C': 0.5},0.715125,0.71605,0.715375,0.715775,0.71635,0.7157350000000001,0.0004428882477555783,8
6,85.4580503463745,4.354526945648627,0.1472243309020996,0.006980651415060605,1,{'C': 1},0.72055,0.7218,0.72025,0.72165,0.72095,0.72104,0.0006036555309114757,7
7,98.69070162773133,8.611688840675036,0.11980986595153809,0.027325562046853272,2,{'C': 2},0.725575,0.725225,0.723675,0.7261,0.723775,0.7248699999999999,0.0009760122950045357,6
8,110.4664023399353,6.979460755327967,0.0960453987121582,0.018916716010978676,4,{'C': 4},0.728125,0.7269,0.72495,0.7289,0.726575,0.7270899999999999,0.0013585470179570615,5
9,103.67584071159362,3.8153063663602618,0.08719921112060547,0.025651710304490923,8,{'C': 8},0.729775,0.728175,0.72615,0.7292,0.727075,0.728075,0.0013320097597239924,4
10,98.40629820823669,5.7256148883562465,0.05882868766784668,0.013961453750133758,16,{'C': 16},0.730725,0.7281,0.726375,0.729625,0.728025,0.72857,0.0014894965592440806,3
11,99.8637433052063,3.147511724586873,0.035317420959472656,0.00904690404824547,32,{'C': 32},0.73095,0.72825,0.7268,0.72915,0.72795,0.7286199999999999,0.0013862178760930732,2
12,86.23125505447388,11.944560839504161,0.02872023582458496,0.005655087473459234,64,{'C': 64},0.731175,0.728125,0.7264,0.7292,0.728475,0.7286750000000001,0.0015520148195168645,1
